page,word,pos,word_url,video_url,mp4_path,mp4_bytes,status
2,dog,Noun,https://spreadthesign.com/en.gb/word/1357/dog/0/?q=dog,https://media.spreadthesign.com/video/mp4/1/13437.mp4,sts_media/1357_dog.mp4,87528,ok
2,drink,Verb,https://spreadthesign.com/en.gb/word/10859/drink/0/?q=drink,https://media.spreadthesign.com/video/mp4/1/133556.mp4,sts_media/10859_drink.mp4,144040,ok
2,Easter,Noun,https://spreadthesign.com/en.gb/word/9027/easter/0/?q=Easter,https://media.spreadthesign.com/video/mp4/1/240453.mp4,sts_media/9027_easter.mp4,74573,ok
2,eat,Verb,https://spreadthesign.com/en.gb/word/880/eat/0/?q=eat,https://media.spreadthesign.com/video/mp4/1/8837.mp4,sts_media/880_eat.mp4,102282,ok
2,Egypt,Noun,https://spreadthesign.com/en.gb/word/7972/egypt/0/?q=Egypt,,,0,no_video
2,England,Noun,https://spreadthesign.com/en.gb/word/1622/england/0/?q=England,https://media.spreadthesign.com/video/mp4/1/16118.mp4,sts_media/1622_england.mp4,87733,ok
2,Estonia,Noun,https://spreadthesign.com/en.gb/word/7989/estonia/0/?q=Estonia,https://media.spreadthesign.com/video/mp4/1/185027.mp4,sts_media/7989_estonia.mp4,193115,ok
2,evening,Noun,https://spreadthesign.com/en.gb/word/563/evening/0/?q=evening,https://media.spreadthesign.com/video/mp4/1/5571.mp4,sts_media/563_evening.mp4,167721,ok
2,famous,Adjective,https://spreadthesign.com/en.gb/word/2361/famous/0/?q=famous,https://media.spreadthesign.com/video/mp4/1/22998.mp4,sts_media/2361_famous.mp4,166810,ok
2,fantastic,Adjective,https://spreadthesign.com/en.gb/word/1601/fantastic/0/?q=fantastic,https://media.spreadthesign.com/video/mp4/1/15906.mp4,sts_media/1601_fantastic.mp4,89014,ok
2,father,Noun,https://spreadthesign.com/en.gb/word/1283/father/0/?q=father,https://media.spreadthesign.com/video/mp4/1/12687.mp4,sts_media/1283_father.mp4,80957,ok
2,Finland,Noun,https://spreadthesign.com/en.gb/word/1608/finland/0/?q=Finland,https://media.spreadthesign.com/video/mp4/1/15979.mp4,sts_media/1608_finland.mp4,76090,ok
